,Coefficient
age,-0.03012998997379625
duration,1.8731715926748749
campaign,-0.006108245813697233
pdays,-0.2436846950386876
previous,-0.12289044722648472
emp.var.rate,-2.129898662206489
cons.price.idx,0.8267660402745688
cons.conf.idx,0.1075084524701068
euribor3m,0.46061642787471796
nr.employed,-0.167549687548171
job_admin.,-0.02379573544451219
job_blue-collar,-0.11699435052492614
job_entrepreneur,-0.43555498960650774
job_housemaid,-0.002485742251461508
job_management,-0.06392382261057108
job_retired,0.4754898349186266
job_self-employed,-0.228265763348327
job_services,-0.10812261292159424
job_student,0.32540662668178355
job_technician,-0.15703342532800835
job_unemployed,0.11016591142299371
job_unknown,0.21897514489637104
marital_divorced,-0.03240731474417274
marital_married,-0.19249457790355123
marital_single,-0.2000639020565973
marital_unknown,0.418826870588191
education_basic.4y,-0.10657105299230354
education_basic.6y,-0.334797536537332
education_basic.9y,-0.22167494484770225
education_high.school,0.021221102689136132
education_illiterate,0.2477503742068207
education_professional.course,-0.07196332971956268
education_university.degree,0.20943268519888433
education_unknown,0.2504637778859271
default_no,0.23112207580639263
default_unknown,-0.23726099992252916
housing_no,-0.02560033960835455
housing_unknown,0.11077102755666438
housing_yes,-0.09130961206444187
loan_no,0.1555950533704738
loan_unknown,0.11077102755666438
loan_yes,-0.2725050050432735
contact_cellular,0.3248242207969273
contact_telephone,-0.33096314491305634
month_apr,0.01685405470464104
month_aug,0.5091599161952516
month_dec,-0.648251047338029
month_jul,0.004309221882712495
month_jun,-0.44496240414511007
month_mar,1.769467850200151
month_may,-1.018528574650356
month_nov,-0.46490609936398153
month_oct,0.47210774468661965
month_sep,-0.20138958628803896
day_of_week_fri,-0.10759066574638554
day_of_week_mon,-0.04110662719095244
day_of_week_thu,-0.05494939044603316
day_of_week_tue,0.01363070597060103
day_of_week_wed,0.18387705329663445
poutcome_failure,-0.48556345769142084
poutcome_nonexistent,-0.05415650767397365
poutcome_success,0.5335810412492683
