rank_test_f1,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_train_accuracy,std_train_accuracy,mean_train_f1,std_train_f1,mean_train_recall,std_train_recall,mean_train_precision,std_train_precision,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_f1,std_test_f1,mean_test_recall,std_test_recall,rank_test_recall,mean_test_precision,std_test_precision,rank_test_precision
1,0.13379034996032715,0.023396401970473622,0.013919925689697266,0.004036495955648338,"{'LR__C': 0.24173407609359807, 'LR__class_weight': 'balanced'}",0.8685360480298122,0.0031634305373428877,0.6092129787013231,0.0066359080372222256,0.897872340425532,0.0037043585843574895,0.4610220108527212,0.0066865884206684725,0.8668343737657759,0.01118328655006938,56,0.6021803005136863,0.025628765737740294,0.8819148936170211,0.0337084670590529,7,0.45747379654110426,0.023300294639655137,53
2,0.2451554298400879,0.02255092037194493,0.011313199996948242,0.002586825775063024,"{'LR__C': 1.8736471726879484, 'LR__class_weight': 'balanced'}",0.8695375470620373,0.003565411523494373,0.6111114181038065,0.0077862782531296255,0.8981382978723405,0.005741232219394387,0.4631324015208474,0.007639111267251085,0.8668348158758791,0.010038650905423002,53,0.6020640009090286,0.02416070262200373,0.8819148936170214,0.03285839406697979,1,0.45725113690406716,0.021208733228174716,54
2,0.25882573127746583,0.0631480561330193,0.01616220474243164,0.005568111227855939,"{'LR__C': 1.812512634512658, 'LR__class_weight': 'balanced'}",0.8695678960756943,0.0036028636748210476,0.6111681653230251,0.007849296456320105,0.8981382978723405,0.005741232219394387,0.46319838412561065,0.007720175809239532,0.8668348158758791,0.010038650905423002,53,0.6020640009090286,0.02416070262200373,0.8819148936170214,0.03285839406697979,1,0.45725113690406716,0.021208733228174716,54
4,0.254732608795166,0.03902824262592117,0.014433526992797851,0.0028966050998269436,"{'LR__C': 1.4802791185736313, 'LR__class_weight': 'balanced'}",0.8695982358801226,0.003581302917079014,0.6112228768062729,0.00781138568024107,0.8981382978723405,0.0056166787451975885,0.4632604970409968,0.0076770132110182245,0.866713382967561,0.010031869131985869,63,0.6018451681915717,0.024137406696167093,0.8819148936170214,0.03285839406697979,1,0.45699974446089386,0.02119643443877009,57
4,0.260974645614624,0.05554802371312248,0.012123537063598634,0.004415354943208424,"{'LR__C': 1.624171686136416, 'LR__class_weight': 'balanced'}",0.8695678914710798,0.003541139245539209,0.6111660054173097,0.007749711136066363,0.8981382978723405,0.0056166787451975885,0.46319421830179364,0.007592989996668222,0.866713382967561,0.010031869131985869,63,0.6018451681915717,0.024137406696167093,0.8819148936170214,0.03285839406697979,1,0.45699974446089386,0.02119643443877009,57
6,0.23689894676208495,0.05160722018333667,0.010709667205810547,0.002114131724956587,"{'LR__C': 2.0539052196018375, 'LR__class_weight': 'balanced'}",0.8694768444301089,0.003579887129918737,0.6109317659315433,0.007773289870579615,0.897872340425532,0.005411433497174417,0.46299681550884486,0.007660668821821651,0.8668348158758791,0.01025636048142883,53,0.6017727886025194,0.024966234760332332,0.8808510638297872,0.034406301337864334,16,0.4572117612336554,0.021779668266974046,56
7,0.22273001670837403,0.015642017266082896,0.017914581298828124,0.004400936692371198,"{'LR__C': 1.1926576137672078, 'LR__class_weight': 'balanced'}",0.8694161464027946,0.0035466596270677182,0.6108180043733928,0.007848536637300531,0.897872340425532,0.006029672366358855,0.4628643668852798,0.00760993895524171,0.8665920974292772,0.009647033297128342,66,0.6015861493932518,0.023286256644896277,0.8819148936170211,0.03354017610730734,7,0.4567130183149903,0.020325245713192743,65
8,0.2759145736694336,0.06370117586017386,0.011905288696289063,0.0031751219289944503,"{'LR__C': 1.8392202416878227, 'LR__class_weight': 'balanced'}",0.8695982404847369,0.0035695855810761717,0.6112222425399797,0.0077914224708548535,0.8981382978723405,0.005741232219394387,0.4632599506077916,0.007652840175521533,0.866713456652578,0.010060222324147702,60,0.6015353358232426,0.02453633680250444,0.8808510638297872,0.034406301337864334,16,0.4569347965151838,0.02130894379742475,59
9,0.16052913665771484,0.0052384561009248785,0.01601753234863281,0.004702442945878986,"{'LR__C': 0.28027527153764625, 'LR__class_weight': 'balanced'}",0.8686271226984698,0.00346206489440612,0.6093879512666847,0.007163918651500265,0.897872340425532,0.003890622031470171,0.46122772623817737,0.007296711167465289,0.866470296095873,0.010999143441853883,69,0.6015049319133617,0.02507601366708844,0.8819148936170211,0.0337084670590529,7,0.45669340149727844,0.022715194539620363,66
9,0.16025204658508302,0.039703236537077566,0.01697988510131836,0.008367768489220329,"{'LR__C': 0.2760863868124702, 'LR__class_weight': 'balanced'}",0.8686271180938554,0.003393736847551613,0.6093859206742778,0.007011347623048669,0.897872340425532,0.0037043585843574895,0.46122448250073667,0.007150806188655193,0.866470296095873,0.010999143441853883,69,0.6015049319133617,0.02507601366708844,0.8819148936170211,0.0337084670590529,7,0.45669340149727844,0.022715194539620363,66
